"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"305","JT Chargois",NA,"NA54",-3.20746117005974,2.34529109872572,2.228725,42.14857475,0,3.84932726600639,1.25520229841819,45.85231725,8.27302076537909,2.38775239031515
"306","Jace Fry",NA,"NA461",-9.42124726533767,NA,0.0479,0.9028,0,3.95262,1.4187,1,8.1252,1.95031324260099
"307","Jack Cushing",NA,"NA431",-9.41384400899998,NA,0.0469,0.729,0,4.28589,1.3086,1,6.561,2.56780556533991
"308","Jack Dreyer",NA,"NA322",-9.37971123707474,NA,0.0509,0.9941,0,4.05747,1.342,1,8.9469,2.34181389870436
"309","Jack Kochanowicz","SP","SP724",-24.9969566904898,4.68501487082269,2,61.852177,0,5.06256357195767,1.41796743819685,87.957414,6.32885356315728,2.15075952868555
"310","Jack Labosky",NA,"NA347",-9.38896232401927,NA,0.0457,0.8431,0,4.15116,1.3039,1,7.5879,2.70658105939005
"311","Jack Leftwich",NA,"NA464",-9.42167446986655,NA,0.0468,0.8487,0,4.34223,1.3317,1,7.6383,2.57259775689603
"312","Jack Leiter","SP/RP","SP/RP596",-11.6360931284778,3.9876092154624,2.04836666666667,55.0475666666667,0,4.62420390484673,1.41302722645424,53.5949333333333,9.24393537200034,2.14675398788717
"313","Jack Neely","RP","RP473",-9.53305579512489,2.59429473050837,1.18946666666667,33.477,0,4.5978,1.37640520833333,32,9.41540625,2.45965717476544
"314","Jack O'Loughlin",NA,"NA253",-9.33441776039243,0.683709183762086,0.596033333333333,14.2565,0,4.49082705882353,1.44127058823529,17,7.54755882352941,1.9479552379521
"315","Jackson Kowar","RP","RP278",-9.35319680904961,NA,0.0476,1.0039,0,3.89979,1.3166,1,9.0351,2.43961117861482
"316","Jackson Rutledge","SP/RP","SP/RP599",-11.8278641025899,1.69458322529759,1,21.5,0,5.21052631578947,1.45614035087719,28.5,6.78947368421053,1.8695652173913
"317","Jackson Stephens",NA,"NA440",-9.41549748199247,NA,0.0476,0.8747,0,4.23261,1.3477,1,7.8723,2.57189062040576
