"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"134","Danny Coulombe","RP","RP148",-2.06318219556126,3.46476066315358,2.7773025,54.5274,0,3.68087362621048,1.21393247263968,53.044425,9.25161503777258,3.24538880457102
"135","Danny Young","RP","RP223",-6.84979427745583,2.35811539027012,2.9676875,57.523425,0,3.90021274154442,1.31709635066428,53.1631,9.73816096126825,2.37113443494659
"136","Darren McCaughan",NA,"NA498",-19.5900858039807,8.67187497859547,1.29896666666667,32.2805333333333,0,5.10062701788343,1.40141424656197,40.9876666666667,7.0881029252702,2.64235002646672
"137","David Bednar","RP","RP68",8.58138773003955,1.78003397221313,3.27792,64.343175,26.105,3.91479683889982,1.26251622594682,61.2445,9.45535639935015,2.85434635300276
"138","David Festa","SP","SP264",-9.19592948879449,4.52219617501416,4.385995,84.3036,0,4.05721774500186,1.2787361396633,79.55705,9.53695995515168,2.90012289735018
"139","David Peterson","SP","SP379",-13.1534469099569,6.93342663517562,8.90701,133.4725,0,4.01026061619248,1.3532110171875,143.11275,8.39374898462925,2.34259888988833
"140","David Robertson","RP","RP122",0.25113031074388,2.41480675792506,2.4392625,55.750275,0,3.38570112780113,1.20069449207578,45.92565,10.9253211440666,3.00243559605458
"141","Davis Martin","SP","SP567",-31.5738976969889,4.7957854296351,5.1260125,102.19275,0,4.6934143214548,1.38211436252972,120.5115,7.63192516896728,2.33435763776857
"142","Daysbel Hernández","RP","RP211",-6.16503588266927,1.37477074108108,3.7192125,64.35585,0,3.80980245892096,1.36379872318709,54.326675,10.6614779940057,2.35576074821092
"143","Dean Kremer","SP","SP476",-17.398033023137,4.30503901012622,8.7836975,121.98775,0,4.36835003158322,1.31753665174889,139.71025,7.85833358683418,2.55952140536032
"144","Declan Cronin","RP","RP342",-11.4249173425994,4.00570479726918,1.98649,41.884325,0,3.99894890220951,1.36375714470028,48.8299,7.71983815244348,2.25075333070916
"145","Dedniel Núñez","RP","RP127",-0.458075611259884,2.06948615041645,2.608595,54.9406,0,3.51316657787823,1.20229011612693,47.96045,10.3098573929144,3.14009984882648
"146","Dennis Santana","RP","RP343",-11.4401186153429,2.86143585798716,2.7597875,60.5714,1.0385,4.17420153198352,1.34670725932373,62.5072,8.72127690890009,2.27395300906069
"147","Derek Law","RP","RP272",-9.48584811183305,5.10610970444143,3.387665,54.335025,3.192,4.09160914185689,1.34481712051271,63.7551,7.67021344174819,2.38047624836941
"148","Devin Williams","RP","RP19",26.3543752405457,6.61424812812893,4.468555,82.715075,30.178,3.0140200847806,1.15373588779352,61.128375,12.1782343306198,2.96741816198899
"149","Diego Castillo",NA,"NA540",-24.0733367616943,0.944452401208628,0.971733333333333,40.5481,0,4.97734016885133,1.53482688511851,44.9547333333333,8.11778589128916,1.82330978083284
"150","Dillon Tate","RP","RP307",-10.5558529124554,1.91729654459729,2.01713333333333,32.1847333333333,0,4.13643055922638,1.29307302436218,42.8806666666667,6.75508620823681,2.41430164580447
